RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Alpha,Beta
4,13,0,14.827176,85.487185,4192.468129,14.757847,-0.019459,0.012977,-0.004685,0.003403,0.048918,-0.003934,1.05015,1.18228,7.661577,1.43763,0.144793,0,15,10
4,14,0,14.832355,85.642715,4192.462255,14.758066,-0.016396,0.010826,-0.004623,0.003269,0.033909,-0.003284,0.900746,0.81835,6.441258,1.437911,0.162018,0,10,10
4,15,0,14.829122,85.528676,4192.463953,14.757855,-0.009559,0.00581,-0.005028,0.00342,0.018438,-0.001817,0.599659,0.445507,3.667808,1.652115,0.209548,0,5,10
4,16,0,14.828445,85.680007,4192.453391,14.758457,-0.000843,-0.000534,-0.005011,0.003365,0.004012,-0.000186,0.209046,0.099073,0.135702,1.761102,0.226413,0,0,10
5,1,1,0,0,0,0,0.164802,0.132985,-0.076552,0.116662,6.680502,0.022598,-49.784663,162.328569,-6.493478,41.519702,-5.613633,0,0,0
5,2,0,0.127808,84.11091,4193.709417,14.874535,-0.002013,0.001236,0.000246,-0.000215,0.040668,-0.000659,0.128083,0.99005,0.744844,-0.118368,-0.007471,0,15,0
6,1,0,15.017182,83.607691,4193.957103,14.757235,0.000211,-0.000482,0.000455,-0.00024,0.006253,0.000126,0.04573,0.152956,-0.172585,-0.139097,-0.034831,0,0,0
6,2,0,15.008522,84.270942,4193.89452,14.755967,-0.00862,0.006223,0.000885,-0.000518,0.019749,-0.002001,0.397741,0.476242,3.466472,-0.416643,-0.065293,0,5,0
6,3,0,14.989063,85.502471,4193.813081,14.756971,-0.016697,0.012018,0.001311,-0.000717,0.034203,-0.004465,0.774989,0.823846,6.713009,-0.662274,-0.110287,0,10,0
6,4,0,14.970606,85.603455,4193.768682,14.756509,-0.018954,0.013511,0.00139,-0.000812,0.050036,-0.004043,0.901084,1.208596,7.58599,-0.727757,-0.110597,0,15,0
6,5,0,14.967232,86.039348,4193.755777,14.756645,-0.01878,0.013105,-0.000518,0.000595,0.050271,-0.004963,0.931805,1.214702,7.476206,-0.025326,-0.044166,0,15,4
6,6,0,14.974133,85.762745,4193.741067,14.75659,-0.017077,0.012041,-0.000881,0.000742,0.03431,-0.004518,0.82598,0.826628,6.83711,0.102623,-0.007134,0,10,4
6,7,0,14.973481,85.835673,4193.69494,14.756833,-0.008968,0.006051,-0.001181,0.000869,0.018684,-0.002027,0.476162,0.450771,3.535027,0.308603,0.028608,0,5,4
6,8,0,14.964582,85.91472,4193.695829,14.756336,-0.000202,-0.000507,-0.001399,0.001015,0.003864,0.000201,0.111277,0.09502,-0.056411,0.511639,0.047903,0,0,4
6,9,0,14.947501,86.180567,4193.685811,14.756954,-0.000306,-0.000529,-0.003594,0.002551,0.00467,0.00031,0.124047,0.114623,-0.00635,1.295753,0.139557,0,0,8
6,10,0,14.940792,86.329927,4193.690075,14.756196,-0.008563,0.005651,-0.00314,0.002263,0.018852,-0.002039,0.467947,0.455123,3.373571,1.020587,0.107038,0,5,8
6,11,0,14.943424,86.392163,4193.68121,14.756752,-0.01732,0.01207,-0.002778,0.002139,0.033286,-0.004673,0.854256,0.801597,6.928325,0.793341,0.059561,0,10,8
6,12,0,14.943462,86.42242,4193.677529,14.756004,-0.020261,0.013995,-0.002624,0.002117,0.048905,-0.007053,1.021362,1.180716,8.062808,0.717692,0.033388,0,15,8
6,13,0,14.917389,86.525258,4193.687416,14.75595,-0.020855,0.014256,-0.003717,0.002844,0.049271,-0.007288,1.072376,1.189562,8.27812,1.093823,0.084046,0,15,10
6,14,0,14.922334,86.708024,4193.70459,14.756341,-0.017585,0.011981,-0.003812,0.002763,0.033984,-0.004911,0.909141,0.818984,6.981782,1.140921,0.118033,0,10,10
6,15,0,14.929623,86.245712,4193.732128,14.756136,-0.009218,0.005881,-0.004171,0.002929,0.019335,-0.001912,0.534613,0.466944,3.594407,1.370653,0.157402,0,5,10
6,16,0,14.924379,86.360538,4193.733904,14.755625,-0.000276,-0.000733,-0.004627,0.003204,0.00486,0.000484,0.149218,0.119594,-0.047841,1.652517,0.193917,0,0,10
7,1,1,0,0,0,0,0.164932,0.133021,-0.076573,0.116693,6.680578,0.018689,-49.812086,162.330247,-6.514413,41.531271,-5.614369,0,0,0
7,2,0,0.124322,84.159173,4196.03798,14.867717,-0.001984,0.001191,0.000154,-0.00009,0.040518,-0.000477,0.130092,0.986388,0.72924,-0.071865,-0.014079,0,15,0
8,1,0,15.009263,82.375979,4196.171749,14.75001,-0.000215,-0.00015,0.000225,-0.000021,0.007109,-0.000427,0.060097,0.173446,0.008756,-0.051042,-0.035341,0,0,0
